,freq,pdf
len,117,0.1341743119266055
print,102,0.11697247706422019
int,67,0.0768348623853211
range,58,0.06651376146788991
sorted,54,0.06192660550458716
open,44,0.05045871559633028
str,36,0.04128440366972477
ValueError,35,0.040137614678899085
list,34,0.0389908256880734
set,33,0.03784403669724771
sum,32,0.03669724770642202
zip,30,0.034403669724770644
enumerate,26,0.02981651376146789
isinstance,24,0.027522935779816515
round,22,0.02522935779816514
dict,20,0.022935779816513763
max,19,0.021788990825688075
float,18,0.020642201834862386
map,10,0.011467889908256881
all,10,0.011467889908256881
super,10,0.011467889908256881
min,9,0.010321100917431193
next,9,0.010321100917431193
type,7,0.008027522935779817
abs,6,0.006880733944954129
any,6,0.006880733944954129
input,4,0.0045871559633027525
ord,4,0.0045871559633027525
reversed,4,0.0045871559633027525
tuple,3,0.0034403669724770644
repr,3,0.0034403669724770644
TypeError,2,0.0022935779816513763
setattr,1,0.0011467889908256881
help,1,0.0011467889908256881
iter,1,0.0011467889908256881
NameError,1,0.0011467889908256881
bool,1,0.0011467889908256881
chr,1,0.0011467889908256881
getattr,1,0.0011467889908256881
hasattr,1,0.0011467889908256881
compile,1,0.0011467889908256881
RuntimeError,1,0.0011467889908256881
property,1,0.0011467889908256881
IndexError,1,0.0011467889908256881
vars,1,0.0011467889908256881
dir,1,0.0011467889908256881
